# Tag,Time,Date,Action
1312000377,1436286154,22:34.2,entry
1312000377,1436286160,22:39.7,exit
2015050115,1436286186,23:06.5,entry
2015050115,1436286187,23:07.4,exit
1312000377,1436286246,24:06.1,entry
1312000377,1436286247,24:07.1,exit
1312000377,1436286258,24:18.3,entry
1312000377,1436286260,24:19.7,exit
1312000377,1436286262,24:22.3,entry
1312000377,1436286269,24:28.7,exit
1312000377,1436286291,24:51.1,entry
1312000377,1436286295,24:55.0,exit
1312000377,1436286296,24:56.4,entry
1312000377,1436286300,24:59.5,exit
2015050115,1436286334,25:34.0,entry
2015050115,1436286335,25:35.0,exit
1312000159,1436286434,27:14.5,entry
1312000159,1436286437,27:16.9,exit
1312000159,1436286474,27:53.9,entry
1312000159,1436286477,27:57.1,exit
1312000159,1436286482,28:01.6,entry
1312000159,1436286484,28:03.9,exit
1312000377,1436286528,28:48.2,entry
1312000377,1436286529,28:49.4,exit
1312000377,1436286538,28:57.6,entry
1312000377,1436286540,28:59.8,exit
1312000377,1436286579,29:39.0,entry
1312000377,1436286582,29:41.6,exit
1312000377,1436286582,29:41.8,entry
1312000377,1436286584,29:44.3,exit
1302000245,1436286587,29:47.1,entry
1302000245,1436286589,29:48.5,exit
1312000377,1436286614,30:13.6,entry
1312000377,1436286616,30:15.9,exit
2015050115,1436286640,30:40.0,entry
2015050115,1436286641,30:41.1,exit
1312000300,1436286648,30:48.1,entry
1312000300,1436286649,30:49.2,exit
2015050115,1436286753,32:33.4,entry
2015050115,1436286760,32:40.3,exit
2015050115,1436286761,32:41.3,entry
2015050115,1436286765,32:45.1,exit
1312000377,1436286854,34:13.8,entry
1312000377,1436286855,34:14.7,exit
1312000300,1436286864,34:24.1,entry
1312000300,1436286867,34:27.1,exit
1312000377,1436286867,34:27.2,entry
1312000377,1436286870,34:30.0,exit
1312000377,1436286875,34:34.9,entry
1312000377,1436286880,34:40.0,exit
1312000377,1436286882,34:42.1,entry
1312000377,1436286885,34:45.2,exit
1312000377,1436286936,35:35.6,entry
1312000377,1436286939,35:38.9,exit
1312000377,1436286939,35:39.4,entry
1312000377,1436286940,35:40.3,exit
1312000377,1436286947,35:47.4,entry
1312000377,1436286952,35:51.8,exit
1312000377,1436286958,35:57.9,entry
1312000377,1436286961,36:00.6,exit
1302000245,1436287128,38:48.1,entry
1302000245,1436287129,38:49.0,exit
1312000377,1436287184,39:44.3,entry
1312000377,1436287188,39:47.7,exit
1312000377,1436287192,39:51.6,entry
1312000377,1436287194,39:54.5,exit
1312000377,1436287196,39:55.6,entry
1312000377,1436287197,39:56.7,exit
1312000159,1436287210,40:09.7,entry
1312000159,1436287215,40:14.7,exit
1312000377,1436287223,40:23.2,entry
1312000377,1436287225,40:24.6,exit
1312000300,1436287234,40:34.5,entry
1312000300,1436287236,40:35.8,exit
1312000377,1436287338,42:18.2,entry
1312000377,1436287340,42:19.7,exit
1312000377,1436287341,42:21.2,entry
1312000377,1436287345,42:25.2,exit
1312000159,1436287352,42:32.1,entry
1312000159,1436287355,42:34.6,exit
1312000377,1436287355,42:35.2,entry
1312000377,1436287360,42:39.5,exit
1312000159,1436287360,42:39.7,entry
1312000159,1436287364,42:44.0,exit
1312000300,1436287373,42:53.0,entry
1312000300,1436287374,42:54.1,exit
1312000377,1436287382,43:02.0,entry
1312000377,1436287390,43:10.3,exit
