Tag,Time,Date,Action,Source
2015050115,1435557772.329663,2015-06-28 23:02:52.329663,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557772.791865,2015-06-28 23:02:52.791865,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557844.512228,2015-06-28 23:04:04.512228,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557845.491535,2015-06-28 23:04:05.491535,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557885.49057,2015-06-28 23:04:45.490570,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557886.469866,2015-06-28 23:04:46.469866,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557886.608122,2015-06-28 23:04:46.608122,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557889.866194,2015-06-28 23:04:49.866194,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557908.202988,2015-06-28 23:05:08.202988,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557909.182309,2015-06-28 23:05:09.182309,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557909.227967,2015-06-28 23:05:09.227967,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557911.375236,2015-06-28 23:05:11.375236,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557919.803827,2015-06-28 23:05:19.803827,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557920.783118,2015-06-28 23:05:20.783118,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557926.16633,2015-06-28 23:05:26.166330,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557929.489587,2015-06-28 23:05:29.489587,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557933.756076,2015-06-28 23:05:33.756076,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557934.735373,2015-06-28 23:05:34.735373,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557935.117713,2015-06-28 23:05:35.117713,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557938.195948,2015-06-28 23:05:38.195948,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557942.02196,2015-06-28 23:05:42.021960,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557946.227477,2015-06-28 23:05:46.227477,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1412000238,1435557969.251383,2015-06-28 23:06:09.251383,entry,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
2015050115,1435557972.253842,2015-06-28 23:06:12.253842,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1412000238,1435557973.331962,2015-06-28 23:06:13.331962,exit,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
2015050115,1435557975,2015-06-28 23:06:15,check+,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557975.970536,2015-06-28 23:06:15.970536,reward0,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557981.284503,2015-06-28 23:06:21.284503,reward1,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557986.661244,2015-06-28 23:06:26.661244,reward2,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557992.01356,2015-06-28 23:06:32.013560,reward3,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557997.42038,2015-06-28 23:06:37.420380,reward4,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435558002.77487,2015-06-28 23:06:42.774870,reward5,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
